DT,DT_round,DT_floor,Measurement,Value
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Specific_Conductivity,62.7
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,FDOM,1.85
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,DO,9.22
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,DO_Sat,NA
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Chl-a,0.03
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Temperature,7.2
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Depth,1.35
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,pH,7.72
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Turbidity,11.34
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Specific_Conductivity,62.96
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,FDOM,1.85
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,DO,9.24
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,DO_Sat,NA
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Chl-a,0.04
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Temperature,NA
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Depth,1.34
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,pH,7.72
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Turbidity,10.2
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Specific_Conductivity,63.16
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,FDOM,1.83
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,DO,9.27
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,DO_Sat,NA
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Chl-a,0.04
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Temperature,6.97
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Depth,1.33
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,pH,7.67
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Turbidity,10.27
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Specific_Conductivity,64.1
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,FDOM,1.86
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,DO,9.32
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,DO_Sat,NA
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Chl-a,0.03
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Temperature,6.83
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Depth,1.35
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,pH,7.72
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Turbidity,11.31
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Specific_Conductivity,64.15
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,FDOM,1.88
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,DO,9.37
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,DO_Sat,NA
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Chl-a,0.03
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Temperature,6.56
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Depth,1.33
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,pH,7.71
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Turbidity,11.41
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Specific_Conductivity,64.37
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,FDOM,1.9
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,DO,9.4
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,DO_Sat,NA
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Chl-a,0.03
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Temperature,NA
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Depth,1.35
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,pH,7.71
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Turbidity,10.21
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Specific_Conductivity,64.34
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,FDOM,1.88
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,DO,9.43
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,DO_Sat,NA
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Chl-a,0.03
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Temperature,6.28
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Depth,1.35
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,pH,7.74
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Turbidity,9.6
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Specific_Conductivity,64.08
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,FDOM,1.89
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,DO,9.47
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,DO_Sat,NA
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Chl-a,0.04
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Temperature,6.17
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Depth,1.35
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,pH,7.72
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Turbidity,9.04
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Specific_Conductivity,64.06
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,FDOM,1.88
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,DO,9.52
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,DO_Sat,NA
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Chl-a,0.03
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Temperature,6.09
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,Depth,1.31
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,pH,7.68
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,Turbidity,11.3
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,Specific_Conductivity,64.59
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,FDOM,1.91
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,DO,9.65
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,DO_Sat,NA
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,Chl-a,0.03
2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,2024-05-03T17:45:00Z,Temperature,5.52
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,Depth,1.32
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,pH,7.74
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,Turbidity,13.24
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,Specific_Conductivity,64.7
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,FDOM,1.91
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,DO,9.74
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,DO_Sat,NA
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,Chl-a,0.03
2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,2024-05-03T17:30:00Z,Temperature,5.29
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,Depth,1.31
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,pH,7.7
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,Turbidity,44.55
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,Specific_Conductivity,64.91
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,FDOM,1.71
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,DO,9.78
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,DO_Sat,NA
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,Chl-a,0.03
2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,2024-05-03T17:15:00Z,Temperature,4.93
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,Depth,1.32
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,pH,7.7
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,Turbidity,65.31
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,Specific_Conductivity,65.19
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,FDOM,1.48
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,DO,9.84
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,DO_Sat,NA
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,Chl-a,0.03
2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,2024-05-03T17:00:00Z,Temperature,NA
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,Depth,1.31
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,pH,7.72
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,Turbidity,7.96
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,Specific_Conductivity,65.07
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,FDOM,2.03
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,DO,9.96
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,DO_Sat,NA
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,Chl-a,0.03
2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,2024-05-03T16:45:00Z,Temperature,4.31
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,Depth,1.33
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,pH,7.65
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,Turbidity,12.16
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,Specific_Conductivity,65.57
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,FDOM,2.08
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,DO,10.09
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,DO_Sat,NA
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,Chl-a,0.03
2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,2024-05-03T16:15:00Z,Temperature,3.73
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,Depth,1.31
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,pH,7.69
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,Turbidity,10.27
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,Specific_Conductivity,65.71
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,FDOM,2.11
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,DO,10.15
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,DO_Sat,NA
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,Chl-a,0.03
2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,2024-05-03T16:00:00Z,Temperature,NA
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,Depth,1.34
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,pH,7.65
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,Turbidity,8.3
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,Specific_Conductivity,65.81
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,FDOM,2.12
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,DO,10.21
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,DO_Sat,NA
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,Chl-a,0.03
2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,2024-05-03T15:45:00Z,Temperature,3.21
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,Depth,1.33
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,pH,7.67
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,Turbidity,8.98
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,Specific_Conductivity,65.91
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,FDOM,2.13
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,DO,10.25
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,DO_Sat,NA
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,Chl-a,0.03
2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,2024-05-03T15:30:00Z,Temperature,2.96
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,Depth,1.33
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,pH,7.61
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,Turbidity,7.91
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,Specific_Conductivity,66.08
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,FDOM,2.16
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,DO,10.3
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,DO_Sat,NA
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,Chl-a,0.03
2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,2024-05-03T15:15:00Z,Temperature,2.74
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,Depth,1.33
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,pH,7.62
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,Turbidity,10.25
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,Specific_Conductivity,65.97
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,FDOM,2.2
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,DO,10.35
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,DO_Sat,NA
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,Chl-a,0.03
2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,2024-05-03T15:00:00Z,Temperature,NA
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,Depth,1.33
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,pH,7.62
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,Turbidity,9.78
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,Specific_Conductivity,65.97
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,FDOM,2.23
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,DO,10.37
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,DO_Sat,NA
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,Chl-a,0.03
2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,2024-05-03T14:45:00Z,Temperature,2.39
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,Depth,1.33
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,pH,7.61
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,Turbidity,9.03
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,Specific_Conductivity,66.3
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,FDOM,2.24
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,DO,10.41
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,DO_Sat,NA
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,Chl-a,0.03
2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,2024-05-03T14:30:00Z,Temperature,2.25
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,Depth,1.33
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,pH,7.6
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,Turbidity,9.01
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,Specific_Conductivity,66.4
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,FDOM,2.23
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,DO,10.42
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,DO_Sat,NA
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,Chl-a,0.03
2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,2024-05-03T14:15:00Z,Temperature,2.14
2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,Depth,1.34
2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,pH,7.58
2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,Turbidity,9.73
2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,2024-05-03T14:00:00Z,Specific_Conductivity,66.42
